,Grid Point
201,"(-0.8222222222222222, -0.24444444444444446)"
202,"(-0.8222222222222222, -0.19999999999999996)"
203,"(-0.8222222222222222, -0.15555555555555556)"
204,"(-0.8222222222222222, -0.11111111111111105)"
205,"(-0.8222222222222222, -0.06666666666666665)"
206,"(-0.8222222222222222, -0.022222222222222143)"
207,"(-0.8222222222222222, 0.022222222222222365)"
208,"(-0.8222222222222222, 0.06666666666666665)"
209,"(-0.8222222222222222, 0.11111111111111116)"
210,"(-0.8222222222222222, 0.15555555555555567)"
211,"(-0.8222222222222222, 0.19999999999999996)"
212,"(-0.8222222222222222, 0.24444444444444446)"
213,"(-0.8222222222222222, 0.288888888888889)"
214,"(-0.8222222222222222, 0.3333333333333335)"
215,"(-0.8222222222222222, 0.37777777777777777)"
216,"(-0.8222222222222222, 0.4222222222222223)"
217,"(-0.8222222222222222, 0.4666666666666668)"
218,"(-0.8222222222222222, 0.5111111111111111)"
219,"(-0.8222222222222222, 0.5555555555555556)"
220,"(-0.8222222222222222, 0.6000000000000001)"
221,"(-0.8222222222222222, 0.6444444444444446)"
222,"(-0.8222222222222222, 0.6888888888888889)"
223,"(-0.8222222222222222, 0.7333333333333334)"
224,"(-0.8222222222222222, 0.7777777777777779)"
225,"(-0.8222222222222222, 0.8222222222222222)"
226,"(-0.8222222222222222, 0.8666666666666667)"
227,"(-0.8222222222222222, 0.9111111111111112)"
228,"(-0.8222222222222222, 0.9555555555555557)"
229,"(-0.8222222222222222, 1.0)"
230,"(-0.7777777777777778, -1.0)"
231,"(-0.7777777777777778, -0.9555555555555556)"
232,"(-0.7777777777777778, -0.9111111111111111)"
233,"(-0.7777777777777778, -0.8666666666666667)"
234,"(-0.7777777777777778, -0.8222222222222222)"
235,"(-0.7777777777777778, -0.7777777777777778)"
236,"(-0.7777777777777778, -0.7333333333333334)"
237,"(-0.7777777777777778, -0.6888888888888889)"
238,"(-0.7777777777777778, -0.6444444444444444)"
239,"(-0.7777777777777778, -0.6)"
240,"(-0.7777777777777778, -0.5555555555555556)"
241,"(-0.7777777777777778, -0.5111111111111111)"
242,"(-0.7777777777777778, -0.4666666666666667)"
243,"(-0.7777777777777778, -0.42222222222222217)"
244,"(-0.7777777777777778, -0.37777777777777777)"
245,"(-0.7777777777777778, -0.33333333333333326)"
246,"(-0.7777777777777778, -0.28888888888888886)"
247,"(-0.7777777777777778, -0.24444444444444446)"
248,"(-0.7777777777777778, -0.19999999999999996)"
249,"(-0.7777777777777778, -0.15555555555555556)"
250,"(-0.7777777777777778, -0.11111111111111105)"
251,"(-0.7777777777777778, -0.06666666666666665)"
252,"(-0.7777777777777778, -0.022222222222222143)"
253,"(-0.7777777777777778, 0.022222222222222365)"
254,"(-0.7777777777777778, 0.06666666666666665)"
255,"(-0.7777777777777778, 0.11111111111111116)"
256,"(-0.7777777777777778, 0.15555555555555567)"
257,"(-0.7777777777777778, 0.19999999999999996)"
258,"(-0.7777777777777778, 0.24444444444444446)"
259,"(-0.7777777777777778, 0.288888888888889)"
260,"(-0.7777777777777778, 0.3333333333333335)"
261,"(-0.7777777777777778, 0.37777777777777777)"
262,"(-0.7777777777777778, 0.4222222222222223)"
263,"(-0.7777777777777778, 0.4666666666666668)"
264,"(-0.7777777777777778, 0.5111111111111111)"
265,"(-0.7777777777777778, 0.5555555555555556)"
266,"(-0.7777777777777778, 0.6000000000000001)"
267,"(-0.7777777777777778, 0.6444444444444446)"
268,"(-0.7777777777777778, 0.6888888888888889)"
269,"(-0.7777777777777778, 0.7333333333333334)"
270,"(-0.7777777777777778, 0.7777777777777779)"
271,"(-0.7777777777777778, 0.8222222222222222)"
272,"(-0.7777777777777778, 0.8666666666666667)"
273,"(-0.7777777777777778, 0.9111111111111112)"
274,"(-0.7777777777777778, 0.9555555555555557)"
275,"(-0.7777777777777778, 1.0)"
276,"(-0.7333333333333334, -1.0)"
277,"(-0.7333333333333334, -0.9555555555555556)"
278,"(-0.7333333333333334, -0.9111111111111111)"
279,"(-0.7333333333333334, -0.8666666666666667)"
280,"(-0.7333333333333334, -0.8222222222222222)"
281,"(-0.7333333333333334, -0.7777777777777778)"
282,"(-0.7333333333333334, -0.7333333333333334)"
283,"(-0.7333333333333334, -0.6888888888888889)"
284,"(-0.7333333333333334, -0.6444444444444444)"
285,"(-0.7333333333333334, -0.6)"
286,"(-0.7333333333333334, -0.5555555555555556)"
287,"(-0.7333333333333334, -0.5111111111111111)"
288,"(-0.7333333333333334, -0.4666666666666667)"
289,"(-0.7333333333333334, -0.42222222222222217)"
290,"(-0.7333333333333334, -0.37777777777777777)"
291,"(-0.7333333333333334, -0.33333333333333326)"
292,"(-0.7333333333333334, -0.28888888888888886)"
293,"(-0.7333333333333334, -0.24444444444444446)"
294,"(-0.7333333333333334, -0.19999999999999996)"
295,"(-0.7333333333333334, -0.15555555555555556)"
296,"(-0.7333333333333334, -0.11111111111111105)"
297,"(-0.7333333333333334, -0.06666666666666665)"
298,"(-0.7333333333333334, -0.022222222222222143)"
299,"(-0.7333333333333334, 0.022222222222222365)"
300,"(-0.7333333333333334, 0.06666666666666665)"
301,"(-0.7333333333333334, 0.11111111111111116)"
302,"(-0.7333333333333334, 0.15555555555555567)"
303,"(-0.7333333333333334, 0.19999999999999996)"
304,"(-0.7333333333333334, 0.24444444444444446)"
305,"(-0.7333333333333334, 0.288888888888889)"
306,"(-0.7333333333333334, 0.3333333333333335)"
307,"(-0.7333333333333334, 0.37777777777777777)"
308,"(-0.7333333333333334, 0.4222222222222223)"
309,"(-0.7333333333333334, 0.4666666666666668)"
310,"(-0.7333333333333334, 0.5111111111111111)"
311,"(-0.7333333333333334, 0.5555555555555556)"
312,"(-0.7333333333333334, 0.6000000000000001)"
313,"(-0.7333333333333334, 0.6444444444444446)"
314,"(-0.7333333333333334, 0.6888888888888889)"
315,"(-0.7333333333333334, 0.7333333333333334)"
316,"(-0.7333333333333334, 0.7777777777777779)"
317,"(-0.7333333333333334, 0.8222222222222222)"
318,"(-0.7333333333333334, 0.8666666666666667)"
319,"(-0.7333333333333334, 0.9111111111111112)"
320,"(-0.7333333333333334, 0.9555555555555557)"
321,"(-0.7333333333333334, 1.0)"
322,"(-0.6888888888888889, -1.0)"
323,"(-0.6888888888888889, -0.9555555555555556)"
324,"(-0.6888888888888889, -0.9111111111111111)"
325,"(-0.6888888888888889, -0.8666666666666667)"
326,"(-0.6888888888888889, -0.8222222222222222)"
327,"(-0.6888888888888889, -0.7777777777777778)"
328,"(-0.6888888888888889, -0.7333333333333334)"
329,"(-0.6888888888888889, -0.6888888888888889)"
330,"(-0.6888888888888889, -0.6444444444444444)"
331,"(-0.6888888888888889, -0.6)"
332,"(-0.6888888888888889, -0.5555555555555556)"
333,"(-0.6888888888888889, -0.5111111111111111)"
334,"(-0.6888888888888889, -0.4666666666666667)"
335,"(-0.6888888888888889, -0.42222222222222217)"
336,"(-0.6888888888888889, -0.37777777777777777)"
337,"(-0.6888888888888889, -0.33333333333333326)"
338,"(-0.6888888888888889, -0.28888888888888886)"
339,"(-0.6888888888888889, -0.24444444444444446)"
340,"(-0.6888888888888889, -0.19999999999999996)"
341,"(-0.6888888888888889, -0.15555555555555556)"
342,"(-0.6888888888888889, -0.11111111111111105)"
343,"(-0.6888888888888889, -0.06666666666666665)"
344,"(-0.6888888888888889, -0.022222222222222143)"
345,"(-0.6888888888888889, 0.022222222222222365)"
346,"(-0.6888888888888889, 0.06666666666666665)"
347,"(-0.6888888888888889, 0.11111111111111116)"
348,"(-0.6888888888888889, 0.15555555555555567)"
349,"(-0.6888888888888889, 0.19999999999999996)"
350,"(-0.6888888888888889, 0.24444444444444446)"
351,"(-0.6888888888888889, 0.288888888888889)"
352,"(-0.6888888888888889, 0.3333333333333335)"
353,"(-0.6888888888888889, 0.37777777777777777)"
354,"(-0.6888888888888889, 0.4222222222222223)"
355,"(-0.6888888888888889, 0.4666666666666668)"
356,"(-0.6888888888888889, 0.5111111111111111)"
357,"(-0.6888888888888889, 0.5555555555555556)"
358,"(-0.6888888888888889, 0.6000000000000001)"
359,"(-0.6888888888888889, 0.6444444444444446)"
360,"(-0.6888888888888889, 0.6888888888888889)"
361,"(-0.6888888888888889, 0.7333333333333334)"
362,"(-0.6888888888888889, 0.7777777777777779)"
363,"(-0.6888888888888889, 0.8222222222222222)"
364,"(-0.6888888888888889, 0.8666666666666667)"
365,"(-0.6888888888888889, 0.9111111111111112)"
366,"(-0.6888888888888889, 0.9555555555555557)"
367,"(-0.6888888888888889, 1.0)"
368,"(-0.6444444444444444, -1.0)"
369,"(-0.6444444444444444, -0.9555555555555556)"
370,"(-0.6444444444444444, -0.9111111111111111)"
371,"(-0.6444444444444444, -0.8666666666666667)"
372,"(-0.6444444444444444, -0.8222222222222222)"
373,"(-0.6444444444444444, -0.7777777777777778)"
374,"(-0.6444444444444444, -0.7333333333333334)"
375,"(-0.6444444444444444, -0.6888888888888889)"
376,"(-0.6444444444444444, -0.6444444444444444)"
377,"(-0.6444444444444444, -0.6)"
378,"(-0.6444444444444444, -0.5555555555555556)"
379,"(-0.6444444444444444, -0.5111111111111111)"
380,"(-0.6444444444444444, -0.4666666666666667)"
381,"(-0.6444444444444444, -0.42222222222222217)"
382,"(-0.6444444444444444, -0.37777777777777777)"
383,"(-0.6444444444444444, -0.33333333333333326)"
384,"(-0.6444444444444444, -0.28888888888888886)"
385,"(-0.6444444444444444, -0.24444444444444446)"
386,"(-0.6444444444444444, -0.19999999999999996)"
387,"(-0.6444444444444444, -0.15555555555555556)"
388,"(-0.6444444444444444, -0.11111111111111105)"
389,"(-0.6444444444444444, -0.06666666666666665)"
390,"(-0.6444444444444444, -0.022222222222222143)"
391,"(-0.6444444444444444, 0.022222222222222365)"
392,"(-0.6444444444444444, 0.06666666666666665)"
393,"(-0.6444444444444444, 0.11111111111111116)"
394,"(-0.6444444444444444, 0.15555555555555567)"
395,"(-0.6444444444444444, 0.19999999999999996)"
396,"(-0.6444444444444444, 0.24444444444444446)"
397,"(-0.6444444444444444, 0.288888888888889)"
398,"(-0.6444444444444444, 0.3333333333333335)"
399,"(-0.6444444444444444, 0.37777777777777777)"
400,"(-0.6444444444444444, 0.4222222222222223)"
401,"(-0.6444444444444444, 0.4666666666666668)"
402,"(-0.6444444444444444, 0.5111111111111111)"
403,"(-0.6444444444444444, 0.5555555555555556)"
404,"(-0.6444444444444444, 0.6000000000000001)"
405,"(-0.6444444444444444, 0.6444444444444446)"
406,"(-0.6444444444444444, 0.6888888888888889)"
407,"(-0.6444444444444444, 0.7333333333333334)"
408,"(-0.6444444444444444, 0.7777777777777779)"
409,"(-0.6444444444444444, 0.8222222222222222)"
410,"(-0.6444444444444444, 0.8666666666666667)"
411,"(-0.6444444444444444, 0.9111111111111112)"
412,"(-0.6444444444444444, 0.9555555555555557)"
413,"(-0.6444444444444444, 1.0)"
414,"(-0.6, -1.0)"
415,"(-0.6, -0.9555555555555556)"
416,"(-0.6, -0.9111111111111111)"
417,"(-0.6, -0.8666666666666667)"
418,"(-0.6, -0.8222222222222222)"
419,"(-0.6, -0.7777777777777778)"
420,"(-0.6, -0.7333333333333334)"
421,"(-0.6, -0.6888888888888889)"
422,"(-0.6, -0.6444444444444444)"
423,"(-0.6, -0.6)"
424,"(-0.6, -0.5555555555555556)"
425,"(-0.6, -0.5111111111111111)"
426,"(-0.6, -0.4666666666666667)"
427,"(-0.6, -0.42222222222222217)"
428,"(-0.6, -0.37777777777777777)"
429,"(-0.6, -0.33333333333333326)"
430,"(-0.6, -0.28888888888888886)"
431,"(-0.6, -0.24444444444444446)"
432,"(-0.6, -0.19999999999999996)"
433,"(-0.6, -0.15555555555555556)"
434,"(-0.6, -0.11111111111111105)"
435,"(-0.6, -0.06666666666666665)"
436,"(-0.6, -0.022222222222222143)"
437,"(-0.6, 0.022222222222222365)"
438,"(-0.6, 0.06666666666666665)"
439,"(-0.6, 0.11111111111111116)"
440,"(-0.6, 0.15555555555555567)"
441,"(-0.6, 0.19999999999999996)"
442,"(-0.6, 0.24444444444444446)"
443,"(-0.6, 0.288888888888889)"
444,"(-0.6, 0.3333333333333335)"
445,"(-0.6, 0.37777777777777777)"
446,"(-0.6, 0.4222222222222223)"
447,"(-0.6, 0.4666666666666668)"
448,"(-0.6, 0.5111111111111111)"
449,"(-0.6, 0.5555555555555556)"
450,"(-0.6, 0.6000000000000001)"
451,"(-0.6, 0.6444444444444446)"
452,"(-0.6, 0.6888888888888889)"
453,"(-0.6, 0.7333333333333334)"
454,"(-0.6, 0.7777777777777779)"
455,"(-0.6, 0.8222222222222222)"
456,"(-0.6, 0.8666666666666667)"
457,"(-0.6, 0.9111111111111112)"
458,"(-0.6, 0.9555555555555557)"
459,"(-0.6, 1.0)"
460,"(-0.5555555555555556, -1.0)"
461,"(-0.5555555555555556, -0.9555555555555556)"
462,"(-0.5555555555555556, -0.9111111111111111)"
463,"(-0.5555555555555556, -0.8666666666666667)"
464,"(-0.5555555555555556, -0.8222222222222222)"
465,"(-0.5555555555555556, -0.7777777777777778)"
466,"(-0.5555555555555556, -0.7333333333333334)"
467,"(-0.5555555555555556, -0.6888888888888889)"
468,"(-0.5555555555555556, -0.6444444444444444)"
469,"(-0.5555555555555556, -0.6)"
470,"(-0.5555555555555556, -0.5555555555555556)"
471,"(-0.5555555555555556, -0.5111111111111111)"
472,"(-0.5555555555555556, -0.4666666666666667)"
473,"(-0.5555555555555556, -0.42222222222222217)"
474,"(-0.5555555555555556, -0.37777777777777777)"
475,"(-0.5555555555555556, -0.33333333333333326)"
476,"(-0.5555555555555556, -0.28888888888888886)"
